,STATION_NUMBER,STATION_NAME,LATITUDE,LONGITUDE,YEAR_FROM,YEAR_TO,RECORD_LENGTH,temp_name
2,08HA016,BINGS CREEK NEAR THE MOUTH,48.78921890258789,-123.72547149658205,1961,2018,58,BINGS CREEK
7,08HB048,CARNATION CREEK AT THE MOUTH,48.91556167602539,-124.9977798461914,1972,2018,47,CARNATION CREEK
8,08ME002,CAYOOSH CREEK NEAR LILLOOET,50.66931915283203,-121.96533966064452,1914,2018,73,CAYOOSH CREEK
19,08HA072,COTTONWOOD CREEK HEADWATERS,48.93352127075195,-124.249267578125,1998,2018,21,COTTONWOOD CREEK HEADWATERS
27,08HB075,DOVE CREEK NEAR THE MOUTH,49.73657989501953,-125.0857162475586,1985,2018,34,DOVE CREEK
35,08HA068,GARBAGE CREEK NEAR THE MOUTH,48.57835006713867,-124.10572052001952,1997,2018,22,GARBAGE CREEK
38,08HA070,HARRIS CREEK NEAR LAKE COWICHAN,48.71937942504883,-124.2260513305664,1997,2018,22,HARRIS CREEK
40,08HB041,JUMP CREEK AT THE MOUTH,49.02497100830078,-124.1868133544922,1970,2018,49,JUMP CREEK
44,08EF006,M3 CREEK NEAR SMITHERS,54.77825164794922,-127.46930694580078,1997,2018,22,M3 CREEK
45,08KH019,MOFFAT CREEK NEAR HORSEFLY,52.31555938720703,-121.4080581665039,1964,2018,55,MOFFAT CREEK
52,08MH168,OR CREEK NEAR COQUITLAM,49.363868713378906,-122.73465728759766,2009,2018,10,OR CREEK
53,08OB002,PALLANT CREEK NEAR QUEEN CHARLOTTE,53.05730056762695,-132.05136108398438,1962,2018,54,PALLANT CREEK
61,08HA069,RENFREW CREEK NEAR PORT RENFREW,48.636749267578125,-124.29171752929688,1997,2018,22,RENFREW CREEK
83,08HB086,TOFINO CREEK NEAR THE MOUTH,49.25083160400391,-125.58332824707033,1995,2018,24,TOFINO CREEK
86,08EC014,TWAIN CREEK TRIBUTARY NEAR BABINE LAKE,54.55947113037109,-125.91443634033205,1998,2018,21,TWAIN CREEK TRIBUTARY
