,STATION_NUMBER,STATION_NAME,LATITUDE,LONGITUDE,YEAR_FROM,YEAR_TO,RECORD_LENGTH,temp_name
2,08HB082,COMOX LAKE NEAR COURTENAY,49.64213943481445,-125.09165954589844,1993,2018,26,COMOX LAKE
3,08MH149,COQUITLAM LAKE FOREBAY,49.35573959350586,-122.7791976928711,1984,2018,35,COQUITLAM LAKE FOREBAY
4,08HA009,COWICHAN LAKE NEAR LAKE COWICHAN,48.82440185546875,-124.06153106689452,1913,2018,76,COWICHAN LAKE
5,08HC006,CREST LAKE NEAR HIGHWAY 28,49.841068267822266,-125.90670776367188,1997,2018,9,CREST LAKE
7,08NH067,KOOTENAY LAKE AT KUSKONOOK,49.29882049560547,-116.65956115722656,1936,2018,82,KOOTENAY LAKE
8,08JB007,NADINA LAKE NEAR NORALEE,53.90415954589844,-126.97083282470705,1964,2018,55,NADINA LAKE
9,08LG046,NICOLA LAKE NEAR QUILCHENA,50.158390045166016,-120.5251007080078,1933,2018,69,NICOLA LAKE
12,08MH148,ALOUETTE LAKE FOREBAY,49.2872200012207,-122.48444366455078,1983,1996,14,ALOUETTE LAKE FOREBAY
25,08MH167,HAYWARD LAKE ABOVE RUSKIN DAM,49.19791030883789,-122.4073715209961,2008,2017,10,HAYWARD LAKE
27,08ND017,KINBASKET LAKE AT MICA DAM,52.07806015014648,-118.5616683959961,1974,2018,45,KINBASKET LAKE
28,08NB017,KINBASKET LAKE BELOW GARRETT CREEK,51.89067077636719,-117.91207885742188,1980,2017,38,KINBASKET LAKE
30,08NH064,KOOTENAY LAKE AT QUEENS BAY,49.6540412902832,-116.9303207397461,1931,2017,87,KOOTENAY LAKE
32,08NM234,MOORE LAKE RESERVOIR AT THE DAM,50.025001525878906,-119.21666717529295,1973,1986,9,MOORE LAKE RESERVOIR
36,08NM202,PEACHLAND LAKE RESERVOIR OUTFLOW,49.831939697265625,-119.9647216796875,1973,1982,10,PEACHLAND LAKE RESERVOIR OUTFLOW
37,08ME017,SETON LAKE NEAR SHALALTH,50.72777938842773,-122.23332977294922,1927,1978,46,SETON LAKE
46,08JA013,"SKINS LAKE SPILLWAY, NECHAKO RESERVOIR",53.77082824707031,-125.9705581665039,1955,2018,64,"SKINS LAKE SPILLWAY, NECHAKO RESERVOIR"
48,08LC041,SUGAR LAKE RESERVOIR AT THE OUTLET,50.357669830322266,-118.53826141357422,1970,2015,46,SUGAR LAKE RESERVOIR
49,07EF002,WILLISTON LAKE AT LOST CABIN CREEK,56.04996871948242,-123.7481918334961,1976,2015,40,WILLISTON LAKE
50,07ED002,WILLISTON LAKE AT NATION ARM,55.50389099121094,-123.4197235107422,1980,1995,16,WILLISTON LAKE
51,07EF003,WILLISTON LAKE NEAR SCHOOLER CREEK,56.10639190673828,-122.7161102294922,1980,2015,36,WILLISTON LAKE
52,08HD025,WOKAS LAKE NEAR CAMPBELL RIVER,49.9102783203125,-125.54638671875,1997,2017,21,WOKAS LAKE
