,STATION_NUMBER,STATION_NAME,LATITUDE,LONGITUDE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
0,08EC001,BABINE RIVER AT BABINE,55.3225288391113,-126.629829406738,1986,2018,33
1,08NB019,BEAVER RIVER NEAR THE MOUTH,51.509090423584,-117.465301513672,1985,2018,34
2,08HA016,BINGS CREEK NEAR THE MOUTH,48.7892189025879,-123.725471496582,1961,2018,58
3,08HB025,BROWNS RIVER NEAR COURTENAY,49.6928291320801,-125.06925201416,1960,2018,46
4,08EE004,BULKLEY RIVER AT QUICK,54.6186103820801,-126.899971008301,1930,2018,89
5,08EE003,BULKLEY RIVER NEAR HOUSTON,54.3993797302246,-126.719413757324,1930,2018,61
6,08HD003,CAMPBELL RIVER NEAR CAMPBELL RIVER,50.0380592346191,-125.294723510742,1949,2018,49
7,08HB048,CARNATION CREEK AT THE MOUTH,48.9155616760254,-124.997779846191,1972,2018,47
8,08ME002,CAYOOSH CREEK NEAR LILLOOET,50.669319152832,-121.965339660645,1914,2018,73
9,08GA043,CHEAKAMUS RIVER NEAR BRACKENDALE,49.8160285949707,-123.150077819824,1957,2018,62
10,08HA001,CHEMAINUS RIVER NEAR WESTHOLME,48.878360748291,-123.704643249512,1914,2018,71
11,08MA002,CHILKO RIVER AT OUTLET OF CHILKO LAKE,51.6248588562012,-124.143356323242,1928,2018,90
12,08NB005,COLUMBIA RIVER AT DONALD,51.4832992553711,-117.180389404297,1944,2018,75
13,08NA002,COLUMBIA RIVER AT NICHOLSON,51.2435607910156,-116.912933349609,1984,2018,35
14,08NA002,COLUMBIA RIVER AT NICHOLSON,51.2435607910156,-116.912933349609,1903,2018,115
15,08HB082,COMOX LAKE NEAR COURTENAY,49.6421394348145,-125.091659545898,1993,2018,26
16,08MH149,COQUITLAM LAKE FOREBAY,49.3557395935059,-122.779197692871,1984,2018,35
17,08MH141,COQUITLAM RIVER ABOVE COQUITLAM LAKE,49.4879417419434,-122.792510986328,1982,2018,37
18,08MH002,COQUITLAM RIVER AT PORT COQUITLAM,49.2652397155762,-122.78150177002,1915,2018,55
19,08HA072,COTTONWOOD CREEK HEADWATERS,48.933521270752,-124.249267578125,1998,2018,21
20,10AC005,COTTONWOOD RIVER ABOVE BASS CREEK,59.1175003051758,-129.825546264648,1964,2018,55
21,08HA009,COWICHAN LAKE NEAR LAKE COWICHAN,48.8244018554687,-124.061531066895,1913,2018,76
22,08HA002,COWICHAN RIVER AT LAKE COWICHAN,48.8259086608887,-124.053047180176,1913,2018,86
23,08HA011,COWICHAN RIVER NEAR DUNCAN,48.773078918457,-123.714469909668,1960,2018,59
24,08HC006,CREST LAKE NEAR HIGHWAY 28,49.8410682678223,-125.906707763672,1997,2018,9
25,08HC006,CREST LAKE NEAR HIGHWAY 28,49.8410682678223,-125.906707763672,1998,2018,21
26,08HB074,CRUICKSHANK RIVER NEAR THE MOUTH,49.5787811279297,-125.214027404785,1982,2018,37
27,08HB075,DOVE CREEK NEAR THE MOUTH,49.7365798950195,-125.085716247559,1985,2018,34
28,08JD006,DRIFTWOOD RIVER ABOVE KASTBERG CREEK,55.9761390686035,-126.677673339844,1979,2018,39
29,08NH127,DUNCAN RESERVOIR AT DUNCAN DAM,50.2554092407227,-116.94856262207,1967,2018,52
30,08NH119,DUNCAN RIVER BELOW B.B. CREEK,50.6375007629395,-117.048027038574,1962,2018,57
31,08NH118,DUNCAN RIVER BELOW LARDEAU RIVER,50.2328605651856,-116.955192565918,1963,2018,56
32,08HD018,ELK RIVER ABOVE CAMPBELL LAKE,49.8572311401367,-125.812683105469,1991,2018,28
33,08HB002,ENGLISHMAN RIVER NEAR PARKSVILLE,49.3161087036133,-124.285270690918,1913,2018,47
34,08KA005,FRASER RIVER AT MCBRIDE,53.3017196655274,-120.140922546387,1953,2018,66
