HYDRO_ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),LAT_RAD,LON_RAD,Name,Climate ID,Station ID,First Year,Last Year,Elevation (m),DISTANCE,STATION_NAME,LATITUDE,LONGITUDE,DRAINAGE_AREA_GROSS,D.YEAR_FROM,D.YEAR_TO,D.RECORD_LENGTH
07ED002,55.31,-123.14,0.9653416092780637,-2.1491984409058174,MACKENZIE A,1184790,1423,1971,2015,690.1,27.868595765665567,WILLISTON LAKE AT NATION ARM,55.50389099121094,-123.4197235107422,,1980,1995,16
07EF002,55.31,-123.14,0.9653416092780637,-2.1491984409058174,MACKENZIE A,1184790,1423,1971,2015,690.1,90.68532953834544,WILLISTON LAKE AT LOST CABIN CREEK,56.04996871948242,-123.7481918334961,,1976,2015,40
07EF003,55.31,-123.14,0.9653416092780637,-2.1491984409058174,MACKENZIE A,1184790,1423,1971,2015,690.1,92.45036657885005,WILLISTON LAKE NEAR SCHOOLER CREEK,56.10639190673828,-122.7161102294922,,1980,2015,36
08GB013,49.78,-123.16,0.8688249016427773,-2.149547506756216,SQUAMISH AIRPORT,10476F0,336,1982,2019,53.7,18.71401206775954,CLOWHOM RIVER NEAR CLOWHOM LAKE,49.78718948364258,-123.42041778564452,147.0,2011,2017,7
08HB082,49.69,-125.03,0.8672541053159823,-2.1821851637685103,COURTENAY PUNTLEDGE,1021989,162,1984,2019,40.0,6.929264154101837,COMOX LAKE NEAR COURTENAY,49.64213943481445,-125.09165954589844,,1993,2018,26
08HD025,49.95,-125.27,0.8717919613711677,-2.1863739539732965,CAMPBELL RIVER A,1021261,145,1965,2019,108.8,20.27040082699424,WOKAS LAKE NEAR CAMPBELL RIVER,49.9102783203125,-125.54638671875,,1997,2017,21
08JA022,54.08,-124.85,0.9438740594785334,-2.1790435711149203,FRASER LAKE NORTH SHORE,109C0LF,557,1969,2010,674.0,56.14740600928743,NECHAKO RESERVOIR AT KENNEY DAM,53.58028030395508,-124.9727783203125,,1993,1995,3
08JA023,53.77,-126.0,0.938463538797351,-2.199114857512855,OOTSA L SKINS L SPILLWAY,1085835,535,1956,2017,861.1,0.3209795582813736,NECHAKO RESERVOIR AT SKINS LAKE SPILLWAY,53.77238082885742,-125.99723815917967,,1993,1995,3
08JA027,53.62,-127.7,0.9358455449193595,-2.2287854547967587,TAHTSA LAKE WEST,1087950,547,1951,2000,862.6,36.50463329241302,NECHAKO RESERVOIR AT TAHTSA REACH,53.6622200012207,-127.1508331298828,,1992,1996,5
08LC018,50.06,-119.45,0.8737118235483614,-2.0847957915072266,OKANAGAN CENTRE,1125700,1032,1925,2019,370.0,71.60723826736337,SHUSWAP RIVER AT OUTLET OF SUGAR LAKE RESERVOIR,50.34510040283203,-118.54785919189452,1130.0,1941,2018,9
08LC041,50.36,-119.06,0.8789478113043443,-2.0779890074244487,VERNON SILVER STAR LODGE,1128584,1070,1970,2019,1585.6,37.012888986659355,SUGAR LAKE RESERVOIR AT THE OUTLET,50.357669830322266,-118.53826141357422,,1970,2015,46
08ME017,50.26,-121.61,0.87720248205235,-2.122494903350304,LYTTON 2,1114745,966,1917,2015,174.0,68.18834470262675,SETON LAKE NEAR SHALALTH,50.72777938842773,-122.23332977294922,,1927,1978,46
08MH141,49.44,-122.97,0.8628907821859965,-2.146231381177427,N VAN SEYMOUR HATCHERY,110N666,698,1981,2018,177.0,13.890519214990592,COQUITLAM RIVER ABOVE COQUITLAM LAKE,49.48794174194336,-122.79251098632812,52.5,2011,2018,8
08MH148,49.26,-122.57,0.8597491895324068,-2.1392500641694494,HANEY UBC RF ADMIN,1103332,776,1961,2019,147.0,6.905656191510367,ALOUETTE LAKE FOREBAY,49.2872200012207,-122.48444366455078,,1983,1996,14
08MH149,49.28,-122.88,0.8600982553828056,-2.144660584850632,PORT MOODY GLENAYRE,1106CL2,834,1970,2019,129.5,11.149574267240261,COQUITLAM LAKE FOREBAY,49.35573959350586,-122.7791976928711,,1984,2018,35
08MH167,49.21,-122.51,0.8588765249064095,-2.1382028666182533,MAPLE RIDGE KANAKA CREEK,1104R02,787,1986,2018,76.0,7.576304943937761,HAYWARD LAKE ABOVE RUSKIN DAM,49.19791030883789,-122.4073715209961,,2008,2017,10
08NB017,52.05,-118.59,0.9084438756630485,-2.0697859599400754,MICA DAM,1175122,1367,1951,2019,579.1,49.70456007175947,KINBASKET LAKE BELOW GARRETT CREEK,51.89067077636719,-117.91207885742188,,1980,2017,38
08ND017,52.05,-118.59,0.9084438756630485,-2.0697859599400754,MICA DAM,1175122,1367,1951,2019,579.1,3.672377788540468,KINBASKET LAKE AT MICA DAM,52.07806015014648,-118.5616683959961,,1974,2018,45
08NE102,49.87,-118.07,0.8703956979695721,-2.0607102478297046,FAUQUIER,1142820,1117,1913,2017,490.0,0.8681292326848669,ARROW RESERVOIR AT FAUQUIER,49.87205123901367,-118.0816879272461,,1969,2017,49
08NE103,49.34,-117.77,0.8611454529340022,-2.055474260073722,CASTLEGAR BCHPA DAM,1141457,1106,1969,2019,435.0,0.19016960438934027,ARROW RESERVOIR AT HUGH KEENLEYSIDE DAM,49.33832931518555,-117.77056121826172,,1969,1988,20
08NE104,50.0,-117.37,0.8726646259971648,-2.0484929430657446,NEW DENVER,1145460,1142,1924,2019,568.0,40.34360471350434,ARROW RESERVOIR AT NAKUSP,50.2374382019043,-117.7978515625,,1969,2017,49
08NE107,50.95,-118.17,0.889245253891111,-2.0624555770816992,REVELSTOKE AIRPORT RD,1176751,1372,1969,1999,450.0,39.180633559189864,ARROW RESERVOIR AT SHELTER BAY,50.62778091430664,-117.94444274902344,,1969,1974,5
08NH064,49.91,-116.92,0.8710938296703699,-2.04063896143177,KASLO,1143900,1124,1894,2018,600.0,28.470954621077876,KOOTENAY LAKE AT QUEENS BAY,49.6540412902832,-116.9303207397461,,1931,2017,87
08NH067,49.1,-116.52,0.8569566627292158,-2.033657644423793,CRESTON,1142160,1111,1912,2017,610.4,24.32241262813286,KOOTENAY LAKE AT KUSKONOOK,49.29882049560547,-116.65956115722656,,1936,2016,81
08NH127,50.24,-116.97,0.8768534162019512,-2.0415116260577673,DUNCAN LAKE DAM,1142574,1115,1963,2019,548.6,2.2933375942866374,DUNCAN RESERVOIR AT DUNCAN DAM,50.255409240722656,-116.94856262207033,,1967,2018,52
08NM213,49.8,-119.2,0.8691739674931761,-2.080432468377241,MCCULLOCH,1124980,1017,1923,1996,1249.7,2.174165990777701,MCCULLOCH RESERVOIR AT MCCULLOCH DAM,49.783329010009766,-119.18417358398438,,1973,1986,12
08NM234,49.96,-119.38,0.8719664942963671,-2.0835740610308306,KELOWNA A,1123970,1001,1959,2005,429.5,13.732088598273295,MOORE LAKE RESERVOIR AT THE DAM,50.025001525878906,-119.21666717529295,,1973,1986,9
